intern_role,company_name,hiring_type,location,job_offer(LPA),stipend_per_month,duration(months),early_applicant,posted_date
2D Animation,DoonKidz,no,Workfromhome,0.0,3000,6.0,yes,2025-07-04
Java Development,Ciphercru Innovation Private Limited,no,Jaipur,0.0,16000,6.0,yes,2025-07-04
E-Learning Course Graphics Designer/Animator,Imarticus Learning,no,"Mumbai,Noida",3.3,15000,3.0,yes,2025-07-04
Sales and Marketing,Atal Foundation,no,Lucknow,3.0,22000,2.0,yes,2025-07-04
Operations,MastersBuddy,no,Mumbai,0.0,15000,3.0,yes,2025-07-04
Fashion Design,Vardhman Apparels,no,Jaipur,3.0,16000,2.0,yes,2025-07-04
Sales and Marketing,Home Canvas,no,Bangalore,0.0,15000,3.0,yes,2025-07-04
Human Resources (HR),Arin Consultancy Private Limited,no,Mumbai,0.0,7500,3.0,No,2025-07-04
Sales and Marketing,SkillSauce,no,Noida,3.0,15000,3.0,No,2025-07-04
Company Secretary (CS),Incspires LLP,no,Pune,0.0,5000,24.0,yes,2025-07-04
Mechatronics,Krishi Network,no,Workfromhome,0.0,4000,6.0,No,2025-07-04
Android App Development,Carrier Solution,no,Agra,1.0,10000,3.0,No,2025-07-04
Telecalling,Performship.com,no,Noida,0.0,13000,3.0,yes,2025-07-04
Business Development (Sales),Circle Health,no,Bangalore,0.0,10000,6.0,No,2025-07-04
Business Development (Sales),Scientificatt,no,Workfromhome,0.0,7000,4.0,No,2025-07-04
Human Resources (HR),Digital Friend,no,"Ahmedabad,Gandhinagar",3.0,10000,3.0,yes,2025-07-04
Social Media Marketing,Digital Friend,no,"Ahmedabad,Gandhinagar",4.0,10000,3.0,yes,2025-07-04
Digital Marketing,Nidhi Jain,no,Mumbai,0.0,12500,6.0,No,2025-07-04
Recruitment,UltraGenius Tech Private Limited,no,Mumbai,0.0,8000,3.0,yes,2025-07-04
Full Stack Development,Meru Technosoft Private Limited,yes,Ahmedabad,0.0,10000,6.0,No,2025-07-04
Fashion Design And Merchandising,Stare Outfit,no,Noida,0.0,10000,3.0,No,2025-07-04
Marketing,Happiness Plans,no,Indore,0.0,5000,3.0,yes,2025-07-04
Digital Marketing,Flat And Flatmates Solutions,no,Gurgaon,0.0,12000,3.0,No,2025-07-04
Video Editing/Making,MicDrop Incorporation,no,Workfromhome,0.0,4001,3.0,No,2025-07-04
Campus Ambassador,NayePankh Foundation,yes,Workfromhome,0.0,0,3.0,No,2025-07-04
Sales and Marketing,AIESEC,no,NaviMumbai,0.0,0,6.0,yes,2025-07-04
Video Editing/Making,Naina Chauhan,no,Gurgaon,3.0,20000,2.0,No,2025-07-04
Marketing (Deep Tech & Healthcare),MyImmune,yes,Workfromhome,0.0,15000,6.0,No,2025-07-04
HR Consultant,ConsultBae,yes,Workfromhome,4.0,10000,6.0,No,2025-07-04
Sales and Marketing,Miri,no,Hyderabad,0.0,7000,3.0,yes,2025-07-04
Go-To-Market(GTM) Development,Nimrobo AI Pvt Ltd,yes,Workfromhome,0.0,7000,3.0,No,2025-07-04
Content Writing,Nobrokerage.com,yes,Workfromhome,0.0,8000,6.0,No,2025-07-04
Recruitment Consultant,YunicSolutions,yes,Delhi,3.0,20000,6.0,No,2025-07-04
Graphic Design,IJCP Group,no,Delhi,0.0,5000,3.0,No,2025-07-04
Operations,Delhivery Direct Local,no,Bangalore,0.0,15000,3.0,yes,2025-07-04
Founders Office Operations,Trivy Technologies Private Limited,yes,Workfromhome,3.0,5000,3.0,No,2025-07-04
Sales and Marketing,Think Of It Foundation,no,Workfromhome,0.0,11000,4.0,No,2025-07-04
Brand Partnerships,Trivy Technologies Private Limited,yes,Workfromhome,4.5,5000,3.0,No,2025-07-04
Lead Generation,Corewave Tech Private Limited,no,Delhi,0.0,10000,3.0,No,2025-07-04
Telecalling,Grow Insight Solutions LLP,no,Jaipur,0.0,10000,3.0,yes,2025-07-04
Business Development (Sales),GENZ EDUCATEWING INNOVATION PRIVATE LIMITED,no,Bangalore,0.0,26000,3.0,yes,2025-07-04
AR Operations,FreJun Incorporation,yes,Workfromhome,0.0,15000,6.0,No,2025-07-04
Digital Marketing,Digital Word Of Mouth (WoM),no,Workfromhome,0.0,1000,6.0,No,2025-07-04
Social Media Content Writer,SPR DLX STUDIOS PRIVATE LIMITED,no,Hyderabad,3.0,12000,3.0,yes,2025-07-04
Social Media Marketing,Kindlife.in,no,Gurgaon,0.0,10000,2.0,No,2025-07-04
Solar Inverter Service Engineer,RELECTROCOM SERVICES PRIVATE LIMITED,no,Ghaziabad,0.0,10000,3.0,yes,2025-07-04
Content and Social Media Marketing,Eccentric Engine,no,Mumbai,0.0,15000,6.0,yes,2025-07-04
Business Development (Sales),Vigil IQ,no,Indore,3.2,16000,6.0,yes,2025-07-04
Sales Coordinator,Syncretic Engineering Private Limited,no,"Delhi,Gurgaon",0.0,5000,6.0,yes,2025-07-04
Content and Social Media Marketing,9CC (Ninecc Education India Private Limited),yes,Delhi,0.0,12001,3.0,No,2025-07-04
Operations,Saral Mudra (Maxmore Solutions Pvt Ltd),no,Indore,0.0,8000,2.0,yes,2025-07-04
Content and Social Media Marketing,Anmol Chopra,no,Delhi,6.0,10000,6.0,No,2025-07-04
Artificial Intelligence (AI),Main Marshals,no,Lucknow,0.0,10000,6.0,No,2025-07-04
iOS App Development,The CarePal,no,Workfromhome,0.0,5000,3.0,No,2025-07-04
Web Development,ICMG,yes,Workfromhome,0.0,10000,4.0,No,2025-07-04
Creator/ Community Manager,The Email Mafia,yes,Workfromhome,8.0,10000,3.0,No,2025-07-04
Aptitude Teaching,Budding Mariners,yes,Workfromhome,0.0,3000,2.0,No,2025-07-04
Technical Sales Associate,AppSynergies Private Limited,yes,Workfromhome,0.0,10000,6.0,No,2025-07-04
Content and Social Media Marketing,YOGIKRIPA MEDICHEM,no,Mumbai,0.0,8000,3.0,yes,2025-07-04
Flutter Development,Isourse,yes,Delhi,6.0,10000,6.0,No,2025-07-04
Field Sales,Hydropure Industries,no,Workfromhome,0.0,18000,2.0,No,2025-07-04
Business Development (Sales),Pephot Solutions,yes,Workfromhome,0.0,22500,3.0,No,2025-07-04
Operations,Neo Group,no,Gurgaon,0.0,8000,3.0,No,2025-07-04
Photography,AH International Private Limited,no,Jaipur,0.0,15000,6.0,yes,2025-07-04
Video Editing/Making,UpTodd,no,Workfromhome,0.0,5000,2.0,No,2025-07-04
Search Engine Optimization (SEO),Padhakku Peek A Book Private Limited,no,Noida,0.0,10000,3.0,No,2025-07-04
Social Media Marketing,Devi,no,Delhi,0.0,25000,3.0,No,2025-07-04
Supply Chain & Logistics Operations,Intessence Solutions Pvt Ltd,no,Bangalore,0.0,15000,6.0,No,2025-07-04
Content Creation,Super Industries,no,SahibzadaAjitSinghNagar,0.0,12000,6.0,yes,2025-07-04
PHP Development,Avenir Technosys LLP,no,Workfromhome,0.0,5000,6.0,No,2025-07-04
Industrial And Production Engineering,Infinos Technologies LLP,no,Hyderabad,0.0,8500,3.0,yes,2025-07-04
Teaching,MCAPREP,no,Workfromhome,0.0,12000,6.0,No,2025-07-04
Media & Public Relations (PR),Panchaamrit Vastu,no,"Delhi,Gurgaon,Noida",0.0,10000,6.0,yes,2025-07-04
Data Entry,PromotEdge Global Services,no,Kolkata,0.0,5000,6.0,yes,2025-07-04
Video Editing/Making,Naman Gulati,no,Workfromhome,0.0,5000,6.0,No,2025-07-04
Sales,Visacrave,no,Workfromhome,0.0,5000,6.0,No,2025-07-04
Graphic Design,Bombay Design Centre,no,Mumbai,0.0,10000,6.0,yes,2025-07-04
Search Engine Optimization (SEO),Lead India Law,no,Delhi,0.0,5000,3.0,yes,2025-07-04
Mobile App Development,Coceptual Media,no,Workfromhome,0.0,2000,2.0,No,2025-07-04
Human Resources (HR),Sociium,no,Chennai,3.8,15000,3.0,No,2025-07-04
E‑commerce Category,NUVR,no,"Kolkata,Bangalore",0.0,10000,3.0,No,2025-07-04
Marketing & Field (Paid),Pushpa Foods - HeriMore,no,Mumbai,0.0,7000,2.0,yes,2025-07-04
Fashion Consultant,Shanu BELLANI,no,Chennai,0.0,15000,3.0,yes,2025-07-04
Business Development (Sales),Addweb.tech,no,Workfromhome,0.0,8000,2.0,No,2025-07-04
Customer Service/Customer Support,Transcon Developers,no,Mumbai,0.0,11000,6.0,yes,2025-07-04
"Marketing, Design & Content Creation (LinkedIn Focus)",Madgical Techdom (OPC) Private Limited,no,Workfromhome,0.0,8000,3.0,No,2025-07-04
Packaging Engineer,Kazam EV Tech Pvt Ltd,no,Bangalore,0.0,25000,6.0,yes,2025-07-03
Hotel Management(Chef),Seasoned Wonders,no,Bangalore,0.0,2500,3.0,yes,2025-07-03
Python Development,DeepTech Launchpad,no,"Coimbatore,Erode,Ooty,Pollachi,Udumalpet,Palani,Avinashi,Tiruppur,Mettupalayam,Annur,Perundurai,Salem,Sulur,Gopichettipalayam,Palladam",2.0,2000,6.0,yes,2025-07-03
Communication Strategy,Aminu Wellness Private Limited,no,Mumbai,0.0,12000,6.0,yes,2025-07-03
Event Management,Get Out And Play India,no,Pune,0.0,15000,6.0,yes,2025-07-03
Content and Social Media Marketing,Advance Group Of Architects,no,"Delhi,Lucknow,Pune,Mumbai,Bangalore",0.0,10500,3.0,No,2025-07-03
Instagram Marketing,Pawzz,yes,"Delhi,Gurgaon",6.0,25000,6.0,No,2025-07-03
Social Media Marketing,CandidMen,no,Bangalore,0.0,25000,6.0,yes,2025-07-03
Human Resources (HR),Vidyalai,no,Kochi,0.0,10001,6.0,yes,2025-07-03
Content Writing,Outright Systems Private Limited,yes,Noida,2.0,8000,3.0,No,2025-07-03
Recruitment Consultant,VB Group,no,Hyderabad,0.0,5001,6.0,yes,2025-07-03
Company Secretary (CS),KNSG & CO LLP,no,Delhi,0.0,7000,12.0,yes,2025-07-03
Study Abroad Counsellor,Maple Immigration And Consultancy,no,Delhi,0.0,25000,6.0,yes,2025-07-03
Social Media Marketing,Shree Laxmi,no,Kolkata,0.0,5000,3.0,yes,2025-07-03
Telecalling,EXp Realty,no,"NaviMumbai,Mumbai",0.0,10000,6.0,yes,2025-07-03
Business Development (Sales) Manager,Jhatfat Delivery Service,no,Dehradun,0.0,5000,3.0,yes,2025-07-03
CAD Design,Ossus Biorenewables Private Limited,no,Bangalore,0.0,20000,3.0,No,2025-07-03
M365 Sales & Outreach Manager,Hidecible Office Systems,no,Workfromhome,0.0,8000,3.0,yes,2025-07-03
Full Stack Development,Think41,yes,Bangalore,8.0,25000,3.0,No,2025-07-03
Business Development (Sales) Manager,City Art Factory,no,Kolkata,0.0,10000,6.0,yes,2025-07-03
Graphic Design,Indxx,no,Gurgaon,0.0,10000,3.0,yes,2025-07-03
Quality Analyst,Jarurat Care,yes,Workfromhome,0.0,0,4.0,No,2025-07-03
Mobile App Development,Indrav,yes,Workfromhome,0.0,1000,2.0,No,2025-07-03
Content and Social Media Marketing,Royal Pixels,no,Workfromhome,0.0,3001,3.0,No,2025-07-03
Investment Analyst,Guitcom Consulting Private Limited,yes,Bangalore,0.0,10000,3.0,No,2025-07-03
Campus Ambassador,Billion Hearts,no,"Mumbai,Bangalore",0.0,0,3.0,yes,2025-07-03
Statistics And Probability SME (Night Shift),CloudBird Digital Private Limited,yes,Workfromhome,0.0,5000,3.0,No,2025-07-03
Logistics And Operations Manager,Early Steps Academy,no,Bangalore,0.0,15000,4.0,yes,2025-07-03
Electrical Engineering SME (Night Shift),CloudBird Digital Private Limited,yes,Workfromhome,0.0,5000,3.0,No,2025-07-03
SME Mechanical Engineering (Night Shift),CloudBird Digital Private Limited,yes,Workfromhome,0.0,5000,3.0,No,2025-07-03
Marketing,AKSN Properties Private Limited,no,Rayagada,0.0,5000,3.0,yes,2025-07-03
Business Development (Sales) Manager,Let's Trip,no,Workfromhome,0.0,6000,2.0,No,2025-07-03
CLAT UG Expert,Lawtech,yes,Workfromhome,0.0,8000,3.0,No,2025-07-03
Business Development (Sales),Millionaize,yes,Workfromhome,0.0,18000,3.0,No,2025-07-03
Food Distribution Volunteer,Mission Learning Foundation,no,NaviMumbai,0.0,0,6.0,yes,2025-07-03
Human Resources (HR) Manager,Malaka Spice,no,Pune,0.0,8000,3.0,yes,2025-07-03
Administration,Dhwani Sangeet Mahavidyalaya,no,"Delhi,Gurgaon",0.0,20000,3.0,yes,2025-07-03
Law/Legal,Marquery Technologies Private Limited,no,Pune,0.0,0,6.0,yes,2025-07-03
Video Editing/Making,VRifyWEB,no,Workfromhome,0.0,1000,5.0,No,2025-07-03
Telecalling,Coding Junior,yes,Workfromhome,0.0,2000,3.0,No,2025-07-03
Business Development (Sales),LearnXIndia,no,Workfromhome,0.0,10000,3.0,No,2025-07-03
Videographer,VedArya,no,Mumbai,0.0,15000,3.0,yes,2025-07-03
E-commerce Executive,My Pooja Box,no,Delhi,0.0,20000,3.0,No,2025-07-03
Media & Public Relations (PR),Rishikul Suvidha Kendra & Rishikul Webhub Private Limited,no,Workfromhome,0.0,10000,3.0,No,2025-07-03
Business Development (Sales),Social Sizzle Media,no,Noida,3.0,15000,3.0,yes,2025-07-03
Human Resources (HR),Harajuku Tokyo Cafe,no,Noida,0.0,5000,6.0,No,2025-07-03
Accounts,Sustainable Minds LLP,no,Kolkata,0.0,8000,6.0,No,2025-07-03
Content and Social Media Marketing,Natureship,no,Mumbai,0.0,5000,6.0,yes,2025-07-03
Human Resources (HR),Kriya Nextwealth Private Limited,no,Bangalore,0.0,10000,6.0,No,2025-07-03
Sales and Marketing,FORWRD,no,Workfromhome,0.0,10000,3.0,No,2025-07-03
2D Artist,Vajra Virtuals,no,Workfromhome,0.0,5000,3.0,No,2025-07-03
Online Social Science Faculty For School Kids,Vikalp India Private Limited,yes,Workfromhome,0.0,9000,6.0,No,2025-07-03
Customer Sales Executive,Coding Craft,no,Workfromhome,0.0,10000,2.0,No,2025-07-03
Administration,Atarg Fitness Studio LLP,no,Ghaziabad,0.0,15000,6.0,yes,2025-07-03
Law/Legal,Nirwani Associates,no,Delhi,0.0,2500,2.0,yes,2025-07-03
Social Media Marketing,Eqmaxtech.com,no,Kochi,0.0,22000,3.0,yes,2025-07-03
Graphic Design,Task Robots,no,Jaipur,0.0,7000,3.0,yes,2025-07-03
Business Development (Sales),ALFASTACK SOLUTION PRIVATE LIMITED,no,Workfromhome,0.0,6000,4.0,No,2025-07-03
Business Development (Sales),Whitefield Network,no,Workfromhome,0.0,4000,6.0,No,2025-07-03
MySQL & Data Science Development,FlexiEle Consulting Services Private Limited,yes,Workfromhome,4.0,15000,6.0,No,2025-07-03
Graphic Design,WeKids Media Network,yes,Workfromhome,0.0,12000,3.0,No,2025-07-03
Business Development (Sales),Tulot Tech Labs,no,Workfromhome,0.0,13000,3.0,No,2025-07-03
Front End Development,EG Allied Private Limited,yes,Workfromhome,0.0,10000,3.0,No,2025-07-03
Human Resources (HR),Kisaan Parivar Private Limited,no,Hyderabad,0.0,10000,3.0,No,2025-07-03
Sales and Marketing,WELLNETIC,no,Delhi,0.0,5000,3.0,yes,2025-07-03
Social Media Marketing,EvolveNow Media,no,Mumbai,0.0,14000,3.0,No,2025-07-03
Video Editing/Making,CreditZilla,no,Workfromhome,0.0,5000,3.0,No,2025-07-03
Video Editing/Making,Online Reading Tutor,no,Workfromhome,0.0,10000,3.0,No,2025-07-03
Marketing,Carving Lab,no,Bhubaneswar,0.0,8000,2.0,yes,2025-07-03
Graphic Design,PeakPals,no,"Delhi,Noida",0.0,8000,2.0,No,2025-07-03
Finance & Accounting,Aurel David,no,Bangalore,0.0,2500,3.0,yes,2025-07-03
Media & Public Relations (PR),Gurukool Superpower Prodigy Foundation,no,Workfromhome,0.0,5001,3.0,No,2025-07-03
Marketing,Yellow Shutter Productions,no,Pune,0.0,17000,3.0,yes,2025-07-03
Digital Marketing,GeekSpoc IT Services,no,Bangalore,0.0,10000,6.0,yes,2025-07-03
Data Entry,Lawtech,yes,Workfromhome,0.0,8000,6.0,No,2025-07-03
Video Editing/Making,Arterns Technologies,no,Workfromhome,0.0,8000,3.0,No,2025-07-03
CXO Assistant – Founders Office,Purple Cat Marketing,no,Workfromhome,0.0,7000,4.0,No,2025-07-03
Business Development (Sales),Cadmium India,no,"Delhi,Noida",0.0,19000,3.0,yes,2025-07-03
Online Marketing Manager,CodeBlocks,no,Workfromhome,0.0,5000,3.0,No,2025-07-03
Logistics And Operations,BabyMD,no,Bangalore,0.0,20000,3.0,No,2025-07-03
Video Editing/Making,Virtual Team,no,Workfromhome,0.0,1001,3.0,No,2025-07-03
Operations,MiStay,yes,Bangalore,0.0,12000,6.0,No,2025-07-03
Teaching,RK Public School,no,Satna,0.0,5000,4.0,yes,2025-07-03
Human Resources (HR) Manager,Inspiredge IT Solutions Private Limited,no,Visakhapatnam,0.0,5001,3.0,yes,2025-07-03
React Native Development (For Community App),FlexiEle Consulting Services Private Limited,yes,Workfromhome,0.0,15000,6.0,No,2025-07-03
Agronomy Manager,Cosy Farms,no,Mumbai,0.0,12000,2.0,yes,2025-07-03
Graphic Design,Webdos Technologies,no,Workfromhome,0.0,5000,6.0,No,2025-07-03
Digital Marketing,Dataillam Private Limited,no,Chennai,4.0,22000,2.0,yes,2025-07-03
Content and Social Media Marketing,Mantra Yoga And Meditation School,no,Workfromhome,0.0,5000,6.0,No,2025-07-03
Business Development (Sales),SunSource Energy,no,Noida,0.0,15000,2.0,No,2025-07-03
Business Development (Sales),Antino Labs Private Limited,no,"Gurgaon,Bangalore",0.0,20000,6.0,No,2025-07-03
Video Editing/Making,Basti Ki Pathshala Foundation,yes,Workfromhome,0.0,0,3.0,No,2025-07-03
Local Changemaker,NayePankh Foundation,yes,Workfromhome,0.0,0,3.0,yes,2025-07-03
Flutter Development,She Can Foundation,yes,Workfromhome,0.0,0,3.0,No,2025-07-03
Web Development,She Can Foundation,yes,Workfromhome,0.0,0,3.0,No,2025-07-03
Human Resources (HR),Basti Ki Pathshala Foundation,yes,Ghaziabad,2.0,15000,6.0,No,2025-07-03
Video Editing/Making,Starting Core,no,Workfromhome,0.0,2000,2.0,No,2025-07-03
Human Resources (HR),Helpmate Solution,no,Ghaziabad,6.0,15000,3.0,No,2025-07-03
Content Development (Logical Reasoning),VISHVASNIYA EDUCATION FOUNDATION,no,Gurgaon,0.0,6000,6.0,yes,2025-07-03
Digital Marketing,Lohitech Solutions,yes,Workfromhome,0.0,5000,2.0,No,2025-07-03
Full Stack Development,Astute Lex Servicado Private Limited,yes,Workfromhome,0.0,10000,6.0,No,2025-07-03
Recruitment,PropertyPistol,no,NaviMumbai,0.0,15000,6.0,yes,2025-07-03
Telecalling,Kunal Group Of Realtors,no,Pune,0.0,22000,6.0,yes,2025-07-03
AI Research,Wild Mind AI,no,Ahmedabad,0.0,6000,6.0,No,2025-07-03
Social Media Marketing,Profitence Wealth,no,Surat,0.0,7000,6.0,yes,2025-07-03
Customer Acquisition,Sampley,yes,Workfromhome,3.6,10000,4.0,No,2025-07-03
Graphic Design,Unbound,no,Workfromhome,0.0,10002,3.0,No,2025-07-03
Bioinformatics Analyst - Immune Repertoire Sequencing,MyImmune,yes,Workfromhome,0.0,10000,3.0,No,2025-07-03
Online Marketing,Wayspire Ed-Tech Private Limited,yes,Workfromhome,0.0,7500,3.0,No,2025-07-03
Marketing,Wayspire Ed-Tech Private Limited,yes,Workfromhome,0.0,7500,3.0,No,2025-07-03
Salesforce Developer (Marketing Cloud),Consultadd,no,Workfromhome,0.0,6000,3.0,No,2025-07-03
Content Programming,Hungama Digital Media Entertainment Private Limited,yes,Mumbai,0.0,5000,3.0,No,2025-07-03
Field Market Survey,Shivani T,no,Bangalore,0.0,15000,3.0,yes,2025-07-03
Sales and Marketing,Buzzifi,no,Workfromhome,0.0,10000,3.0,No,2025-07-03
Growth Associate,Cookzy,no,Bangalore,0.0,15001,6.0,yes,2025-07-03
Shopify Website Intern – Build A Store That Actually Converts,The Cover Up Project,no,Mumbai,0.0,7000,3.0,No,2025-07-03
Business Development (Sales),"STEM-Xpert, Techgenius Innovations Pvt Ltd",no,Workfromhome,0.0,10000,3.0,No,2025-07-03
Video Editing/Making,Pride Infotech,no,Lucknow,0.0,20000,3.0,yes,2025-07-03
Research In Mental Health,WeDidIt,yes,Workfromhome,0.0,0,3.0,No,2025-07-03
Content Writing,Infigon Futures,yes,Workfromhome,0.0,2000,3.0,No,2025-07-03
Book Research & Promotion – Social Impact,WeDidIt,yes,Workfromhome,0.0,0,3.0,yes,2025-07-03
Law/Legal,WeDidIt,yes,Workfromhome,0.0,0,3.0,yes,2025-07-03
Apparel Merchandising,Morni Fashions,no,Jaipur,0.0,3000,3.0,yes,2025-07-03
Content Writing,WeDidIt,yes,Workfromhome,0.0,0,3.0,No,2025-07-03
Graphic Design,Gursidak Foundation,no,Workfromhome,0.0,0,3.0,yes,2025-07-03
Graphic Design,Innate Gamma Private Limited,no,Workfromhome,0.0,5000,3.0,No,2025-07-03
WhatsApp Marketing,Wayspire Ed-Tech Private Limited,yes,Workfromhome,0.0,15000,3.0,No,2025-07-03
Book Marketing,WeDidIt,yes,Workfromhome,0.0,0,3.0,No,2025-07-03
"Power BI Intern (GJEPC India, BKC)",Indian Institute Of Gems And Jewellery,yes,Mumbai,0.0,15000,3.0,No,2025-07-03
Digital Marketing,WeDidIt,yes,Workfromhome,0.0,0,3.0,No,2025-07-03
Backend Development,Zi Cloud,yes,Mumbai,0.0,10000,3.0,No,2025-07-03
Graphic Designer,Jerphy,no,Delhi,0.0,15000,4.0,No,2025-07-03
Web Development,MyImmune,yes,Workfromhome,0.0,15000,6.0,No,2025-07-03
Marketing Copywriter,Jet Learn,yes,"Delhi,Gurgaon,Noida",4.0,15000,3.0,No,2025-07-03
Graphic Design,ADORE,yes,Workfromhome,0.0,0,3.0,No,2025-07-03
Digital Marketing,Happy Holidays,no,Pimpri-Chinchwad,0.0,15000,6.0,yes,2025-07-03
Telecalling,Highway Delite,yes,Workfromhome,0.0,5000,6.0,No,2025-07-03
Human Resources (HR),The Affordable Organic Store,yes,Workfromhome,0.0,8000,6.0,No,2025-07-03
Human Resources (HR),Mars Elevator,yes,Gurgaon,0.0,20000,4.0,No,2025-07-03
Backend Developer,Deepvue Technologies,yes,Workfromhome,0.0,25000,2.0,No,2025-07-03
Sponsorship Management,Indian Mental Health Summit,no,Workfromhome,0.0,12000,4.0,No,2025-07-03
Video Editing/Making,Sage Media,no,Jaipur,2.5,10000,6.0,yes,2025-07-03
Creative Stylist,Brand Catapult,no,Delhi,0.0,10000,3.0,No,2025-07-03
Sales and Marketing,Quintus Tech Pvt Ltd,no,"Jabalpur,Indore,Bhopal",0.0,12000,2.0,yes,2025-07-03
Sales and Marketing,TANKED IND AQUATIC KINGDOM,no,Ghaziabad,0.0,3000,6.0,yes,2025-07-03
Human Resources (HR),Target HR,no,Bangalore,0.0,10000,3.0,No,2025-07-03
Sales,Go IP Global Services Private Limited,no,Noida,0.0,18000,6.0,yes,2025-07-03
Market Research,Integral Industrial Services Private Limited,yes,Workfromhome,0.0,15000,3.0,No,2025-07-03
Lead Generation,Tripple One Solutions,yes,Workfromhome,4.0,10000,3.0,No,2025-07-03
Software Engineer - Frontend,Nicola Tech,yes,"Gurgaon,Noida",0.0,10000,3.0,No,2025-07-03
Administration,Inreach Medical Services,no,Delhi,0.0,4000,3.0,yes,2025-07-03
Digital Marketing,Cilpesentix Infotech,yes,Workfromhome,0.0,16500,3.0,No,2025-07-03
WordPress Development,SKU Creations,no,"Ghaziabad,Meerut,Modinagar,Muradnagar,Noida",2.5,12000,3.0,No,2025-07-03
Front End Development,Cilpesentix Infotech,yes,Workfromhome,0.0,1500,6.0,No,2025-07-03
Market Research,Glassbox Ventures,no,Mumbai,0.0,15000,3.0,No,2025-07-03
Sales Intern,Moxo,no,Bangalore,0.0,10000,6.0,yes,2025-07-03
Business Development (Sales),GradX Academy,no,"Pune,Narhe",1.0,10000,3.0,yes,2025-07-03
FPV Drone Pilot And Developer,Indian Robotics Solution,yes,Noida,0.0,10000,3.0,No,2025-07-03
Artificial Intelligence (AI),DeepThought CultureTech Ventures Pvt Ltd.,yes,Tadipatri,0.0,20000,6.0,No,2025-07-03
Talent Acquisition,ConsultBae,yes,Workfromhome,4.0,10000,6.0,No,2025-07-03
Marketing,Bootstart Spaces And Hospitality Private Limited,no,Pune,0.0,15000,3.0,yes,2025-07-03
Human Resources (HR),ConsultBae,yes,Workfromhome,4.0,10000,6.0,No,2025-07-03
Human Resources (HR),Throttle Theory,yes,Workfromhome,0.0,6000,4.0,No,2025-07-03
E-Commerce Operations,STARTUP SQUAD PRIVATE LIMITED,yes,Gurgaon,0.0,15000,6.0,No,2025-07-03
Content and Social Media Marketing,The Dessert Box,no,Jodhpur,0.0,2000,3.0,yes,2025-07-03
Graphic Design,Mars Elevator,yes,Gurgaon,0.0,20000,4.0,No,2025-07-03
Architecture,MIX-DESIGN,no,Pune,0.0,11000,6.0,yes,2025-07-03
Human Resources (HR),ProTeam Softwares India Private Limited,no,Chennai,0.0,7500,3.0,No,2025-07-03
Whatsapp Manager,Budding Mariners,yes,Workfromhome,0.0,2000,4.0,No,2025-07-03
Graphic Design,Shruti Sushma,no,"Ahmedabad,Bangalore",0.0,25000,6.0,yes,2025-07-03
Full Stack Development,Coding Junior,yes,Workfromhome,0.0,15000,6.0,No,2025-07-03
Recruitment,Go Flo,no,Delhi,0.0,11000,6.0,No,2025-07-03
Data Science,DeepThought CultureTech Ventures Pvt Ltd.,yes,Workfromhome,0.0,7000,3.0,No,2025-07-03
Human Resources (HR),Fitness 2020,yes,Workfromhome,0.0,15000,3.0,No,2025-07-03
Data Entry,Fitness 2020,yes,Workfromhome,2.0,12000,3.0,No,2025-07-03
MIS,Hungama Digital Media Entertainment Private Limited,yes,Mumbai,0.0,5000,3.0,No,2025-07-03
Business Development (Sales),Rural Development Society,yes,Workfromhome,0.0,3800,3.0,No,2025-07-03
Campus Ambassador,Better,yes,Workfromhome,0.0,0,3.0,No,2025-07-03
Full Stack Development,Seeqlo,yes,Workfromhome,0.0,10000,3.0,No,2025-07-03
Content Creation Internship,Ableon Connect Private Limited,no,Workfromhome,0.0,4000,2.0,No,2025-07-03
PPC Analyst Assistant – Amazon (Night Shift),Big Internet E-commerce Private Limited,yes,Workfromhome,0.0,10000,3.0,No,2025-07-03
UX/UI Design,Immense Inc.,yes,Workfromhome,0.0,15000,6.0,No,2025-07-03
Influencer Marketing,Marketing Geeks,no,Workfromhome,0.0,2000,3.0,No,2025-07-03
AI Engineer,The Email Mafia,yes,Workfromhome,1.0,10000,3.0,No,2025-07-03
Email Marketing Associate,The Email Mafia,yes,Workfromhome,8.0,10000,3.0,No,2025-07-03
Marketing Delegate,EduVeda Academy,yes,Workfromhome,0.0,20000,3.0,No,2025-07-03
Graphic Design,Ryt Click,no,Delhi,3.6,9000,6.0,No,2025-07-03
Social Service,Pawzz Foundation,yes,Workfromhome,0.0,8000,3.0,No,2025-07-03
Content & E-Commerce Management,Bookland International,no,Mumbai,0.0,5000,6.0,yes,2025-07-03
1 Week Fundraising,She Can Foundation,yes,Workfromhome,0.0,10000,3.0,No,2025-07-03
Operations Ninja,The Email Mafia,yes,Workfromhome,6.0,10000,3.0,No,2025-07-03
Product Support,Exotel,no,Bangalore,0.0,20000,6.0,yes,2025-07-03
"Online Teacher For Musical Instrument - Guitar, Piano And Drum & Tabla",Vikalp India Private Limited,yes,Workfromhome,0.0,9000,6.0,yes,2025-07-03
Human Resources (HR),Loom Solar Private Limited,no,"Faridabad,Delhi",0.0,8000,3.0,No,2025-07-03
Lead Generation,Evertrust Global,no,Ahmedabad,0.0,6000,6.0,yes,2025-07-03
Online Kathak Faculty For School Kids,Vikalp India Private Limited,yes,Workfromhome,0.0,9000,6.0,yes,2025-07-03
