intern_role,company_name,hiring_type,location,job_offer(LPA),stipend_per_month,duration(months),early_applicant,posted_date
Company Secretary (CS),Krishna Popat,yes,"Palghar,Virar,Naigaon,Vasai,Boisar,MiraBhayandar,Saphale,Vangaon,Kelwa,Umroli,Nalasopara,DahisarMori",0.0,8000,24.0,yes,2025-06-30
Inside Sales,GenieHR Solutions Private Limited,yes,Mohali,0.0,10000,2.0,yes,2025-07-04
Event Organiser/Host,Tablon,yes,Bangalore,0.0,5000,3.0,No,2025-07-03
Digital Marketing,NRIWAY,yes,"Amravati,Nagpur",0.0,3500,6.0,yes,2025-07-02
Customer Service/Customer Support,NestAway Technologies Private Limited,yes,Bangalore,0.0,17000,6.0,yes,2025-07-04
Medical Sales,Neuralbits Technologies Private Limited,yes,"Bangalore,Koramangala",3.6,21000,3.0,yes,2025-07-03
Office Assistant,Institute Of Admissions Professionals,yes,Bangalore,0.0,13000,3.0,yes,2025-07-04
Social Media Marketing,CyberFrat,yes,Mumbai,0.0,8000,4.0,No,2025-07-04
Telecalling,Houzay,yes,Bangalore,0.0,6000,3.0,yes,2025-07-04
React Native Development,SaaSBanana Technologies,yes,Noida,4.0,12000,6.0,No,2025-07-04
Artificial Intelligence (AI),Alphabt,yes,Chennai,0.0,15000,6.0,No,2025-07-03
Events & Inventory Management,Qreative,yes,"Thane,NaviMumbai,Mumbai,Virar,Vasai",0.0,12000,3.0,No,2025-07-03
Medical Sales,Neuralbits Technologies Private Limited,yes,"Secunderabad,Hyderabad",3.6,21000,3.0,yes,2025-07-03
Content Writing,Fantasy Flora Events Private Limited,yes,Hyderabad,2.5,2500,3.0,No,2025-07-03
Managerial,Movi Ecoserve Private Limited,yes,Mumbai,0.0,7500,6.0,yes,2025-07-03
Founder’s Office,Techczar India Private Limited,yes,Gurgaon,0.0,15000,6.0,No,2025-07-04
Marketing,Ketto Online Ventures Private Limited,yes,Mumbai,0.0,15000,4.0,No,2025-07-03
Social Media Marketing,Movi Ecoserve Private Limited,yes,Mumbai,0.0,5500,6.0,No,2025-07-03
Product Management,Ketto Online Ventures Private Limited,yes,Mumbai,0.0,25000,6.0,No,2025-07-04
Telecalling,Delkon Technologies,yes,Bareilly,0.0,10000,6.0,yes,2025-07-04
Data Entry,Content-Whale,yes,Mumbai,0.0,10000,6.0,No,2025-07-03
Digital Marketing,Fantasy Flora Events Private Limited,yes,Hyderabad,2.5,2500,3.0,No,2025-07-03
Media & Public Relations (PR),Right Health India,yes,Mumbai,6.0,20000,3.0,No,2025-07-03
"Electrical, Electronics & Systems Engineering, EV",Gray Mobility,yes,Bangalore,0.0,15000,6.0,No,2025-07-03
Chemistry,Technolira Innovations Private Limited,yes,Pune,0.0,8000,3.0,yes,2025-07-03
Influencer Marketing,Right Health India,yes,Mumbai,6.0,20000,3.0,No,2025-07-03
Data Entry,Total Transport System Limited,yes,Mumbai,0.0,18000,3.0,No,2025-07-03
Architecture,Ipsita Mondal Design Co.,yes,Gurgaon,0.0,20000,6.0,yes,2025-07-01
Human Resources (HR),CareerDNA,yes,Kolkata,3.0,20000,3.0,No,2025-07-04
Human Resources (HR),Ziegler Aerospace,yes,Hyderabad,4.0,8000,6.0,No,2025-07-03
Human Resource Consultant,WEMATTER PXT Limited,yes,Mumbai,0.0,15000,6.0,No,2025-07-04
Human Resources (HR),Sykam Consultancy Services Private Limited,yes,Hyderabad,0.0,13000,3.0,No,2025-07-04
Electrical Engineering,Planys Technologies Private Limited,yes,Chennai,0.0,15000,6.0,No,2025-07-04
Sales,The Affordable Organic Store,yes,Workfromhome,0.0,1500,6.0,No,2025-07-04
Sales and Marketing,Buffalo Extraction Systems Private Limited,yes,Pune,0.0,8000,2.0,yes,2025-06-27
Administration,Vivaan Parashar,yes,Mumbai,0.0,9000,6.0,No,2025-07-03
Content Writing,TFM Overseas Education Consultants,yes,Mumbai,0.0,7000,6.0,yes,2025-07-03
Marketing,Boho Procure,yes,Mumbai,0.0,22000,5.0,No,2025-07-04
Telecaller Executive,Intugine Technologies Private Limited,yes,Bangalore,0.0,10001,6.0,yes,2025-07-03
Law/Legal,Anurag Agrawal,yes,Indore,0.0,4000,6.0,yes,2025-06-30
Production,Boxedge Solutions LLP,yes,Bangalore,0.0,10000,3.0,No,2025-07-02
Business Development (Sales),Natturz Bio Kontrol Private Limited,yes,GoaVelha,0.0,10000,2.0,yes,2025-06-30
Performance Marketing,My Equity School,yes,Mumbai,0.0,20000,3.0,No,2025-07-03
Content and Social Media Marketing,Haus & Kinder,yes,Mumbai,0.0,14000,6.0,No,2025-07-01
Influencer Marketing,Fantasy Flora Events Private Limited,yes,Hyderabad,2.5,2500,3.0,yes,2025-07-03
Growth Marketing,CogniAI Private Limited,yes,Gurgaon,0.0,15000,3.0,No,2025-07-04
Subject Matter Expert (Anatomy And Physiology),KUNDUZ TECHNOLOGIES PRIVATE LIMITED,yes,Workfromhome,0.0,6000,3.0,yes,2025-07-04
Social Media Marketing,CogniAI Private Limited,yes,Gurgaon,0.0,15000,3.0,No,2025-07-04
E-Commerce Operations,Threads And Blocks,yes,Mumbai,0.0,7000,3.0,No,2025-07-02
Graphic Design,Eka Studio By Sana,yes,Delhi,0.0,15000,3.0,No,2025-07-04
Content and Social Media Marketing,AnacoDiva Foods Private Limited,yes,"NaviMumbai,Mumbai",0.0,6000,3.0,No,2025-07-03
Video Editing/Making,Simit Bhagat Studios,yes,Mumbai,4.0,10000,3.0,yes,2025-07-02
Graphic Design,Break The Code,yes,"Thane,Mumbai,Virar,MiraBhayandar,NalaSopara,Dahisar,Titwala,Vasai-Virar,Bandra",0.0,5000,3.0,yes,2025-07-02
Graphic Design,Prodigious Online,yes,Zirakpur,0.0,2000,3.0,yes,2025-06-30
Operations,Universal Adventures,yes,Workfromhome,0.0,2000,3.0,No,2025-07-04
Video Content Creator (Marathi),ClusterDev Technologies Private Limited,yes,Workfromhome,0.0,18000,2.0,yes,2025-07-04
Administration Trainee,Avaesa,yes,Chennai,0.0,10000,3.0,yes,2025-07-03
Sales,Valuebound,yes,Bangalore,4.5,15000,3.0,No,2025-07-01
Robotics,Xboom Utilities Private Limited,yes,Bangalore,0.0,10000,3.0,No,2025-07-02
Graphic Design,Alphanumeric Ideas Private Limited,yes,Mohali,2.4,6000,3.0,yes,2025-06-30
PHP Development,Enpointe,yes,Mumbai,0.0,12000,6.0,No,2025-07-04
Campus Ambassador,Careers360,yes,Workfromhome,0.0,0,2.0,No,2025-07-04
Humane Education (kindness To Animals) Sessions Co-ordination,Maitri Bhavna Foundation,yes,Jaipur,0.0,10000,4.0,No,2025-06-27
Public Relations (PR),Jarurat Care,yes,Workfromhome,0.0,0,2.0,yes,2025-07-04
Customer Service/Customer Support,Navir Consultants,yes,"Thane,NaviMumbai,Dombivli,Kalyan,Vashi,Panvel",0.0,10000,6.0,No,2025-07-02
Business Development (Sales),Surfair Express Cargo And Logistics Private Limited,yes,Bangalore,0.0,10000,3.0,No,2025-06-27
Business Development (Sales),Iblix Digital,yes,Kolkata,0.0,12000,3.0,No,2025-07-01
Operations,Medius Technologies Private Limited,yes,"Thane,NaviMumbai,Mumbai",0.0,10000,6.0,No,2025-07-02
Video Editing/Making,Cocoma Digital Private Limited,yes,Mumbai,0.0,10000,6.0,No,2025-07-02
Content and Social Media Marketing,Cocoma Digital Private Limited,yes,Mumbai,0.0,10000,6.0,No,2025-07-02
Sales Development Representative,Joveo,yes,Bangalore,0.0,25000,3.0,No,2025-07-02
Business Consultant,Break The Code,yes,"Dombivli,Mumbai,Virar,MiraBhayandar,NalaSopara,Dahisar",0.0,5000,3.0,No,2025-07-01
Business Outreach Coordinator,Ace 360,yes,Mumbai,0.0,10000,6.0,No,2025-07-01
Business Development (Sales),Break The Code,yes,"Thane,Dombivli,Kalyan,Mumbai,Virar,MiraBhayandar,NalaSopara,Dahisar,SionKoliwada,Vasai-Virar,Kurla,Bandra",0.0,5000,3.0,No,2025-07-01
Business Consultant,Medius Technologies Private Limited,yes,"Thane,NaviMumbai,Mumbai",0.0,10000,6.0,No,2025-07-02
Digital Marketing,Scalar Tech Media Private Limited,yes,Mumbai,0.0,12000,3.0,No,2025-07-02
Corporate Sales,Break The Code,yes,"MiraBhayandar,Mumbai,Vasai-Virar,Bandra",0.0,7000,3.0,yes,2025-07-01
Cataloging,ODN Digital Services Private Limited,yes,Delhi,0.0,10000,3.0,No,2025-07-04
Business Development (Sales),Scalar Tech Media Private Limited,yes,Mumbai,0.0,12000,3.0,No,2025-07-01
Real Estate Sales,BNM Business Solutions LLP,yes,"Pune,NaviMumbai,Bangalore,Indore",0.0,18000,3.0,No,2025-07-03
