,intern_role,company_name,hiring_type,location,job_offer(LPA),stipend_per_month,duration(months),posted_time,early_applicant,apply_links
28,Telecalling(Female),Elevate X Solutions,Actively hiring,Bhubaneswar,,,6,1 day ago,Be an early applicant,https://internshala.com/internship/detail/telecalling-internship-in-bhubaneswar-at-elevate-x-solutions1750580633
29,Video & Marketing Field Associate,Vypzee,Actively hiring,"Delhi,Gurgaon,Noida",₹ 4,"20,000 - 2,50,000",6,Few hours ago,,https://internshala.com/internship/detail/video-marketing-field-associate-internship-in-multiple-locations-at-vypzee1750680248
30,Founders Office,Evoxia Labs India Private Limited,Actively hiring,Chennai,₹ 4,,6,Today,Be an early applicant,https://internshala.com/internship/detail/founders-office-internship-in-chennai-at-evoxia-labs-india-private-limited1750655015
31,Business Development (Sales),Bee Online Communication Private Limited,Actively hiring,Mumbai,,"5,000 - 12,000",6,Today,Be an early applicant,https://internshala.com/internship/detail/business-development-sales-internship-in-mumbai-at-bee-online-communication-private-limited1750653356
32,Logistics And Operations,Indian Gifts Portal,Actively hiring,Mumbai,,"10,000 - 15,000",2,Few hours ago,,https://internshala.com/internship/detail/logistics-and-operations-internship-in-mumbai-at-indian-gifts-portal1750672513
33,Video Editing/Making,Mangostine Technologies Private Limited,Actively hiring,Panipat,,,4,2 weeks ago,,https://internshala.com/internship/detail/video-editing-making-internship-in-panipat-at-mangostine-technologies-private-limited1748935431
34,Quality Analyst,GoMechanic,Actively hiring,Gurgaon,₹ 4,"10,000 - 12,000",3,Few hours ago,,https://internshala.com/internship/detail/quality-analyst-internship-in-gurgaon-at-gomechanic1750676531
35,Social Media Marketing,Masterjitailor Online,Actively hiring,Noida,,"30,000 - 40,000",6,Few hours ago,Be an early applicant,https://internshala.com/internship/detail/social-media-marketing-internship-in-noida-at-masterjitailor-online1750689903
36,Event Management,TEAMCORE EVENTS,Actively hiring,"Faridabad,Delhi,Ghaziabad,Gurgaon,GreaterNoida,Noida,North,West,Manesar,South,SouthEast",,"10,000 - 15,000",,Few hours ago,Be an early applicant,https://internshala.com/internship/detail/part-time-event-management-internship-in-multiple-locations-at-teamcore-events1750680071
37,Law/Legal,Mr n Mrs Pet,Actively hiring,Jaipur,,"10,000 - 15,000",6,2 days ago,,https://internshala.com/internship/detail/law-legal-internship-in-jaipur-at-mr-n-mrs-pet1750506439
38,Data Analytics,Palk Street,Actively hiring,Hyderabad,,"6,000 - 8,000",6,Today,Be an early applicant,https://internshala.com/internship/detail/data-analytics-internship-in-hyderabad-at-palk-street1750655261
39,Business Development (Sales),Chain Bihari Ashray Foundation,Actively hiring,"Ahmedabad,Mathura",,"3,000 - 8,000",,1 day ago,Be an early applicant,https://internshala.com/internship/detail/part-time-business-development-sales-internship-in-multiple-locations-at-chain-bihari-ashray-foundation1750535093
40,Accounting & Taxation,Shah and Doshi,Actively hiring,"Thane,Mumbai",,"10,000 - 12,500",6,Today,,https://internshala.com/internship/detail/accounting-taxation-internship-in-multiple-locations-at-shah-and-doshi1750654121
