,intern_role,company_name,hiring_type,location,job_offer(LPA),duration(months),posted_time,early_applicant,apply_links,stipend_min,stipend_max
5317,Business Development (Sales),Ghaaspaat Farms Private Limited,0.0,Patna,0.0,2.0,21,No,https://internshala.com/internship/detail/business-development-sales-internship-in-patna-at-ghaaspaat-farms-private-limited1748853778,6500.0,13000
5318,Business Development (Sales),VGOSH INfo,1.0,Workfromhome,0.0,3.0,21,No,https://internshala.com/internship/detail/work-from-home-business-development-sales-internship-at-vgosh-info1748853428,5000.0,10000
5319,Social Media Marketing,Leyr Lifestyle LLP,0.0,Mumbai,0.0,3.0,21,yes,https://internshala.com/internship/detail/social-media-marketing-internship-in-mumbai-at-leyr-lifestyle-llp1748852963,5000.0,7000
5320,Customer Service/Customer Support,MediaCom India,1.0,Workfromhome,5.0,3.0,21,No,https://internshala.com/internship/detail/work-from-home-customer-service-customer-support-internship-at-mediacom-india1748852768,5000.0,10000
5321,Business Development (Sales),City Art Factory,0.0,Kolkata,0.0,3.0,21,No,https://internshala.com/internship/detail/business-development-sales-internship-in-kolkata-at-city-art-factory1748845348,13000.0,30000
5322,Data Processing & Digital Outreach,InsectaTech Private Limited,0.0,"Telangana,AndhraPradesh",3.0,6.0,21,No,https://internshala.com/internship/detail/data-processing-digital-outreach-internship-in-multiple-locations-at-insectatech-pvt-ltd1748852529,10000.0,15000
5323,Human Resources (HR),VKAPS IT Solution Private Limited,0.0,Indore,0.0,3.0,21,No,https://internshala.com/internship/detail/human-resources-hr-internship-in-indore-at-vkaps-it-solution-private-limited1748844729,5000.0,10000
5324,Project Management,Swagsta,1.0,Mumbai,0.0,6.0,21,No,https://internshala.com/internship/detail/project-management-internship-in-mumbai-at-swagsta1748851783,5000.0,10000
5325,Influencer Marketing,Viral Squad LLP,1.0,Bangalore,0.0,3.0,21,No,https://internshala.com/internship/detail/influencer-marketing-internship-in-bangalore-at-viral-squad-llp1748851600,8000.0,10000
5326,Sales Executive,Flaviant Network Private Limited,0.0,Delhi,3.0,6.0,21,yes,https://internshala.com/internship/detail/sales-executive-internship-in-delhi-at-flaviant-network-private-limited1748851295,15000.0,18000
5327,Game Development,DB Skills Foundation,0.0,"NaviMumbai,Mumbai",4.0,6.0,21,No,https://internshala.com/internship/detail/game-development-internship-in-multiple-locations-at-db-skills-foundation1748844039,3000.0,10000
5328,Graphic Design,Lanstitut Technologies Private Limited,0.0,Bangalore,0.0,6.0,21,yes,https://internshala.com/internship/detail/graphic-design-internship-in-bangalore-at-lanstitut-technologies-private-limited1748850991,5000.0,15000
5329,Recruitment Manager,Uphire,0.0,Ahmedabad,3.0,3.0,21,No,https://internshala.com/internship/detail/recruitment-manager-internship-in-ahmedabad-at-uphire1748850708,10000.0,27000
5330,Human Resources (HR),R J Gala & Associates,0.0,Mumbai,0.0,6.0,21,No,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-r-j-gala-associates1748843299,5000.0,10000
5331,Project Management,Emversity,1.0,Bangalore,6.0,4.0,21,No,https://internshala.com/internship/detail/project-management-internship-in-bangalore-at-emversity1748850050,15000.0,20000
5332,Legal Research,SRF Staffing And Recruitment Industry Federation,1.0,Workfromhome,0.0,2.0,21,No,https://internshala.com/internship/detail/work-from-home-legal-research-internship-at-srf-staffing-and-recruitment-industry-federation1748849960,5000.0,10000
5333,Business Development (Sales),EduRiser Learning Solutions,1.0,Mumbai,0.0,6.0,21,No,https://internshala.com/internship/detail/marketing-business-development-internship-in-mumbai-at-eduriser-learning-solutions1748849860,5000.0,10000
5334,Security Operations Center - Cyber Security (2025 or Prior Passout),CyberXchange Private Limited,0.0,Workfromhome,0.0,3.0,21,No,https://internshala.com/internship/detail/work-from-home-security-operations-center-cyber-security-2025-or-prior-passout-internship-at-cyberxchange-private-limited1748849881,1000.0,2500
5335,Field Sales,MinitPe,0.0,"Bhubaneswar,Cuttack,Puri,Sambalpur,Balasore,Odisha,Keonjhar,Berhampura",2.5,3.0,21,yes,https://internshala.com/internship/detail/field-sales-internship-in-multiple-locations-at-minitpe1748842361,2500.0,3000
5336,Graphic Design,CollegeDekho.com,1.0,Gurgaon,0.0,3.0,21,No,https://internshala.com/internship/detail/graphic-design-internship-in-gurgaon-at-collegedekhocom1748849564,5000.0,10000
5337,Video Editing & Social Media,NKK INNOVATIONS,0.0,Hyderabad,0.0,6.0,21,yes,https://internshala.com/internship/detail/video-editing-social-media-internship-in-hyderabad-at-nkk-innovations1748849445,5000.0,10000
5338,Business Development (Sales),Urban Craft,0.0,"Bhilai,Durg",0.0,6.0,21,yes,https://internshala.com/internship/detail/business-development-sales-internship-in-multiple-locations-at-urban-craft1748848669,2500.0,3000
5339,Human Resources (HR),Finploy Finance Employment Technologies,0.0,Mumbai,0.0,2.0,21,No,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-finploy-finance-employment-technologies1748841716,8000.0,10000
5340,Architecture,Epitome Design Studio,0.0,Mumbai,0.0,4.0,21,yes,https://internshala.com/internship/detail/architecture-internship-in-mumbai-at-epitome-design-studio1748841649,6000.0,6001
5341,Social Media Content Creation and Video Making,Aditya  Mittal,0.0,Delhi,0.0,3.0,21,yes,https://internshala.com/internship/detail/social-media-content-creation-and-video-making-internship-in-delhi-at-aditya-mittal1748848682,7000.0,11500
5342,Product Design,Clear Dekho,0.0,Delhi,0.0,3.0,21,No,https://internshala.com/internship/detail/product-design-internship-in-delhi-at-clear-dekho1748848611,5000.0,10000
5343,Business Development,SoDo,0.0,"Faridabad,Ghaziabad,Gurgaon,Noida,Delhi",3.6,4.0,21,No,https://internshala.com/internship/detail/business-development-internship-in-multiple-locations-at-sodo1748848609,5000.0,10000
5344,Presentation Executive,Shreyas Media,0.0,Hyderabad,0.0,3.0,21,No,https://internshala.com/internship/detail/presentation-executive-internship-in-hyderabad-at-shreyas-media1748848099,5000.0,10000
